rebalance_date,fund,ticker,weight
2022-03-03,Equity Equal Weight,PSA,0.02
2022-03-03,Equity Equal Weight,QCOM,0.02
2022-03-03,Equity Equal Weight,SBUX,0.02
2022-03-03,Equity Equal Weight,SHW,0.02
2022-03-03,Equity Equal Weight,SLB,0.02
2022-03-03,Equity Equal Weight,SO,0.02
2022-03-03,Equity Equal Weight,T,0.02
2022-03-03,Equity Equal Weight,TMUS,0.02
2022-03-03,Equity Equal Weight,TTWO,0.02
2022-03-03,Equity Equal Weight,UPS,0.02
2022-03-03,Equity Equal Weight,USB,0.02
2022-03-03,Equity Equal Weight,V,0.02
2022-03-03,Equity Equal Weight,WFC,0.02
2022-03-03,Equity Equal Weight,WMT,0.02
2022-03-03,Equity Equal Weight,XOM,0.02
2022-04-01,Equity Equal Weight,ABBV,0.02
2022-04-01,Equity Equal Weight,ABT,0.02
2022-04-01,Equity Equal Weight,ADBE,0.02
2022-04-01,Equity Equal Weight,AEP,0.02
2022-04-01,Equity Equal Weight,AMD,0.02
2022-04-01,Equity Equal Weight,AMGN,0.02
2022-04-01,Equity Equal Weight,AMT,0.02
2022-04-01,Equity Equal Weight,BA,0.02
2022-04-01,Equity Equal Weight,CAT,0.02
2022-04-01,Equity Equal Weight,CCI,0.02
2022-04-01,Equity Equal Weight,CMCSA,0.02
2022-04-01,Equity Equal Weight,COP,0.02
2022-04-01,Equity Equal Weight,CVX,0.02
2022-04-01,Equity Equal Weight,D,0.02
2022-04-01,Equity Equal Weight,DD,0.02
2022-04-01,Equity Equal Weight,DIS,0.02
2022-04-01,Equity Equal Weight,DOW,0.02
2022-04-01,Equity Equal Weight,DUK,0.02
2022-04-01,Equity Equal Weight,EA,0.02
2022-04-01,Equity Equal Weight,GE,0.02
2022-04-01,Equity Equal Weight,GILD,0.02
2022-04-01,Equity Equal Weight,GS,0.02
2022-04-01,Equity Equal Weight,INTC,0.02
2022-04-01,Equity Equal Weight,KO,0.02
2022-04-01,Equity Equal Weight,MMM,0.02
2022-04-01,Equity Equal Weight,MRK,0.02
2022-04-01,Equity Equal Weight,MS,0.02
2022-04-01,Equity Equal Weight,NEE,0.02
2022-04-01,Equity Equal Weight,NEM,0.02
2022-04-01,Equity Equal Weight,NKE,0.02
2022-04-01,Equity Equal Weight,NUE,0.02
2022-04-01,Equity Equal Weight,NVDA,0.02
2022-04-01,Equity Equal Weight,O,0.02
2022-04-01,Equity Equal Weight,OXY,0.02
2022-04-01,Equity Equal Weight,PLD,0.02
2022-04-01,Equity Equal Weight,PSA,0.02
2022-04-01,Equity Equal Weight,QCOM,0.02
2022-04-01,Equity Equal Weight,SBUX,0.02
2022-04-01,Equity Equal Weight,SHW,0.02
2022-04-01,Equity Equal Weight,SLB,0.02
2022-04-01,Equity Equal Weight,SO,0.02
2022-04-01,Equity Equal Weight,T,0.02
2022-04-01,Equity Equal Weight,TMUS,0.02
2022-04-01,Equity Equal Weight,TTWO,0.02
2022-04-01,Equity Equal Weight,UPS,0.02
2022-04-01,Equity Equal Weight,USB,0.02
2022-04-01,Equity Equal Weight,V,0.02
2022-04-01,Equity Equal Weight,WFC,0.02
2022-04-01,Equity Equal Weight,WMT,0.02
2022-04-01,Equity Equal Weight,XOM,0.02
2022-05-03,Equity Equal Weight,ABBV,0.02
2022-05-03,Equity Equal Weight,ABT,0.02
2022-05-03,Equity Equal Weight,ADBE,0.02
2022-05-03,Equity Equal Weight,AEP,0.02
2022-05-03,Equity Equal Weight,AMD,0.02
2022-05-03,Equity Equal Weight,AMGN,0.02
2022-05-03,Equity Equal Weight,AMT,0.02
2022-05-03,Equity Equal Weight,BA,0.02
2022-05-03,Equity Equal Weight,CAT,0.02
2022-05-03,Equity Equal Weight,CCI,0.02
2022-05-03,Equity Equal Weight,CMCSA,0.02
2022-05-03,Equity Equal Weight,COP,0.02
2022-05-03,Equity Equal Weight,CVX,0.02
2022-05-03,Equity Equal Weight,D,0.02
2022-05-03,Equity Equal Weight,DD,0.02
2022-05-03,Equity Equal Weight,DIS,0.02
2022-05-03,Equity Equal Weight,DOW,0.02
2022-05-03,Equity Equal Weight,DUK,0.02
2022-05-03,Equity Equal Weight,EA,0.02
2022-05-03,Equity Equal Weight,GE,0.02
2022-05-03,Equity Equal Weight,GILD,0.02
2022-05-03,Equity Equal Weight,GS,0.02
2022-05-03,Equity Equal Weight,INTC,0.02
2022-05-03,Equity Equal Weight,KO,0.02
2022-05-03,Equity Equal Weight,MMM,0.02
2022-05-03,Equity Equal Weight,MRK,0.02
2022-05-03,Equity Equal Weight,MS,0.02
2022-05-03,Equity Equal Weight,NEE,0.02
2022-05-03,Equity Equal Weight,NEM,0.02
2022-05-03,Equity Equal Weight,NKE,0.02
2022-05-03,Equity Equal Weight,NUE,0.02
2022-05-03,Equity Equal Weight,NVDA,0.02
2022-05-03,Equity Equal Weight,O,0.02
2022-05-03,Equity Equal Weight,OXY,0.02
2022-05-03,Equity Equal Weight,PLD,0.02
2022-05-03,Equity Equal Weight,PSA,0.02
2022-05-03,Equity Equal Weight,QCOM,0.02
2022-05-03,Equity Equal Weight,SBUX,0.02
2022-05-03,Equity Equal Weight,SHW,0.02
2022-05-03,Equity Equal Weight,SLB,0.02
2022-05-03,Equity Equal Weight,SO,0.02
2022-05-03,Equity Equal Weight,T,0.02
2022-05-03,Equity Equal Weight,TMUS,0.02
2022-05-03,Equity Equal Weight,TTWO,0.02
2022-05-03,Equity Equal Weight,UPS,0.02
2022-05-03,Equity Equal Weight,USB,0.02
2022-05-03,Equity Equal Weight,V,0.02
2022-05-03,Equity Equal Weight,WFC,0.02
2022-05-03,Equity Equal Weight,WMT,0.02
2022-05-03,Equity Equal Weight,XOM,0.02
2022-06-02,Equity Equal Weight,ABBV,0.02
2022-06-02,Equity Equal Weight,ABT,0.02
2022-06-02,Equity Equal Weight,ADBE,0.02
2022-06-02,Equity Equal Weight,AEP,0.02
2022-06-02,Equity Equal Weight,AMD,0.02
2022-06-02,Equity Equal Weight,AMGN,0.02
2022-06-02,Equity Equal Weight,AMT,0.02
2022-06-02,Equity Equal Weight,BA,0.02
2022-06-02,Equity Equal Weight,CAT,0.02
2022-06-02,Equity Equal Weight,CCI,0.02
2022-06-02,Equity Equal Weight,CMCSA,0.02
2022-06-02,Equity Equal Weight,COP,0.02
2022-06-02,Equity Equal Weight,CVX,0.02
2022-06-02,Equity Equal Weight,D,0.02
2022-06-02,Equity Equal Weight,DD,0.02
2022-06-02,Equity Equal Weight,DIS,0.02
2022-06-02,Equity Equal Weight,DOW,0.02
2022-06-02,Equity Equal Weight,DUK,0.02
2022-06-02,Equity Equal Weight,EA,0.02
2022-06-02,Equity Equal Weight,GE,0.02
2022-06-02,Equity Equal Weight,GILD,0.02
2022-06-02,Equity Equal Weight,GS,0.02
2022-06-02,Equity Equal Weight,INTC,0.02
2022-06-02,Equity Equal Weight,KO,0.02
2022-06-02,Equity Equal Weight,MMM,0.02
2022-06-02,Equity Equal Weight,MRK,0.02
2022-06-02,Equity Equal Weight,MS,0.02
2022-06-02,Equity Equal Weight,NEE,0.02
2022-06-02,Equity Equal Weight,NEM,0.02
2022-06-02,Equity Equal Weight,NKE,0.02
2022-06-02,Equity Equal Weight,NUE,0.02
2022-06-02,Equity Equal Weight,NVDA,0.02
2022-06-02,Equity Equal Weight,O,0.02
2022-06-02,Equity Equal Weight,OXY,0.02
2022-06-02,Equity Equal Weight,PLD,0.02
2022-06-02,Equity Equal Weight,PSA,0.02
2022-06-02,Equity Equal Weight,QCOM,0.02
2022-06-02,Equity Equal Weight,SBUX,0.02
2022-06-02,Equity Equal Weight,SHW,0.02
2022-06-02,Equity Equal Weight,SLB,0.02
2022-06-02,Equity Equal Weight,SO,0.02
2022-06-02,Equity Equal Weight,T,0.02
2022-06-02,Equity Equal Weight,TMUS,0.02
2022-06-02,Equity Equal Weight,TTWO,0.02
2022-06-02,Equity Equal Weight,UPS,0.02
2022-06-02,Equity Equal Weight,USB,0.02
2022-06-02,Equity Equal Weight,V,0.02
2022-06-02,Equity Equal Weight,WFC,0.02
2022-06-02,Equity Equal Weight,WMT,0.02
2022-06-02,Equity Equal Weight,XOM,0.02
2022-07-05,Equity Equal Weight,ABBV,0.02
2022-07-05,Equity Equal Weight,ABT,0.02
2022-07-05,Equity Equal Weight,ADBE,0.02
2022-07-05,Equity Equal Weight,AEP,0.02
2022-07-05,Equity Equal Weight,AMD,0.02
2022-07-05,Equity Equal Weight,AMGN,0.02
2022-07-05,Equity Equal Weight,AMT,0.02
2022-07-05,Equity Equal Weight,BA,0.02
2022-07-05,Equity Equal Weight,CAT,0.02
2022-07-05,Equity Equal Weight,CCI,0.02
2022-07-05,Equity Equal Weight,CMCSA,0.02
2022-07-05,Equity Equal Weight,COP,0.02
2022-07-05,Equity Equal Weight,CVX,0.02
2022-07-05,Equity Equal Weight,D,0.02
2022-07-05,Equity Equal Weight,DD,0.02
2022-07-05,Equity Equal Weight,DIS,0.02
2022-07-05,Equity Equal Weight,DOW,0.02
2022-07-05,Equity Equal Weight,DUK,0.02
2022-07-05,Equity Equal Weight,EA,0.02
2022-07-05,Equity Equal Weight,GE,0.02
2022-07-05,Equity Equal Weight,GILD,0.02
2022-07-05,Equity Equal Weight,GS,0.02
2022-07-05,Equity Equal Weight,INTC,0.02
2022-07-05,Equity Equal Weight,KO,0.02
2022-07-05,Equity Equal Weight,MMM,0.02
2022-07-05,Equity Equal Weight,MRK,0.02
2022-07-05,Equity Equal Weight,MS,0.02
2022-07-05,Equity Equal Weight,NEE,0.02
2022-07-05,Equity Equal Weight,NEM,0.02
2022-07-05,Equity Equal Weight,NKE,0.02
2022-07-05,Equity Equal Weight,NUE,0.02
2022-07-05,Equity Equal Weight,NVDA,0.02
2022-07-05,Equity Equal Weight,O,0.02
2022-07-05,Equity Equal Weight,OXY,0.02
2022-07-05,Equity Equal Weight,PLD,0.02
2022-07-05,Equity Equal Weight,PSA,0.02
2022-07-05,Equity Equal Weight,QCOM,0.02
2022-07-05,Equity Equal Weight,SBUX,0.02
2022-07-05,Equity Equal Weight,SHW,0.02
2022-07-05,Equity Equal Weight,SLB,0.02
2022-07-05,Equity Equal Weight,SO,0.02
2022-07-05,Equity Equal Weight,T,0.02
2022-07-05,Equity Equal Weight,TMUS,0.02
2022-07-05,Equity Equal Weight,TTWO,0.02
2022-07-05,Equity Equal Weight,UPS,0.02
2022-07-05,Equity Equal Weight,USB,0.02
2022-07-05,Equity Equal Weight,V,0.02
2022-07-05,Equity Equal Weight,WFC,0.02
2022-07-05,Equity Equal Weight,WMT,0.02
2022-07-05,Equity Equal Weight,XOM,0.02
2022-08-03,Equity Equal Weight,ABBV,0.02
2022-08-03,Equity Equal Weight,ABT,0.02
2022-08-03,Equity Equal Weight,ADBE,0.02
2022-08-03,Equity Equal Weight,AEP,0.02
2022-08-03,Equity Equal Weight,AMD,0.02
2022-08-03,Equity Equal Weight,AMGN,0.02
2022-08-03,Equity Equal Weight,AMT,0.02
2022-08-03,Equity Equal Weight,BA,0.02
2022-08-03,Equity Equal Weight,CAT,0.02
2022-08-03,Equity Equal Weight,CCI,0.02
2022-08-03,Equity Equal Weight,CMCSA,0.02
2022-08-03,Equity Equal Weight,COP,0.02
2022-08-03,Equity Equal Weight,CVX,0.02
2022-08-03,Equity Equal Weight,D,0.02
2022-08-03,Equity Equal Weight,DD,0.02
2022-08-03,Equity Equal Weight,DIS,0.02
2022-08-03,Equity Equal Weight,DOW,0.02
2022-08-03,Equity Equal Weight,DUK,0.02
2022-08-03,Equity Equal Weight,EA,0.02
2022-08-03,Equity Equal Weight,GE,0.02
2022-08-03,Equity Equal Weight,GILD,0.02
2022-08-03,Equity Equal Weight,GS,0.02
2022-08-03,Equity Equal Weight,INTC,0.02
2022-08-03,Equity Equal Weight,KO,0.02
2022-08-03,Equity Equal Weight,MMM,0.02
2022-08-03,Equity Equal Weight,MRK,0.02
2022-08-03,Equity Equal Weight,MS,0.02
2022-08-03,Equity Equal Weight,NEE,0.02
2022-08-03,Equity Equal Weight,NEM,0.02
2022-08-03,Equity Equal Weight,NKE,0.02
2022-08-03,Equity Equal Weight,NUE,0.02
2022-08-03,Equity Equal Weight,NVDA,0.02
2022-08-03,Equity Equal Weight,O,0.02
2022-08-03,Equity Equal Weight,OXY,0.02
2022-08-03,Equity Equal Weight,PLD,0.02
2022-08-03,Equity Equal Weight,PSA,0.02
2022-08-03,Equity Equal Weight,QCOM,0.02
2022-08-03,Equity Equal Weight,SBUX,0.02
2022-08-03,Equity Equal Weight,SHW,0.02
2022-08-03,Equity Equal Weight,SLB,0.02
2022-08-03,Equity Equal Weight,SO,0.02
2022-08-03,Equity Equal Weight,T,0.02
2022-08-03,Equity Equal Weight,TMUS,0.02
2022-08-03,Equity Equal Weight,TTWO,0.02
2022-08-03,Equity Equal Weight,UPS,0.02
2022-08-03,Equity Equal Weight,USB,0.02
2022-08-03,Equity Equal Weight,V,0.02
2022-08-03,Equity Equal Weight,WFC,0.02
2022-08-03,Equity Equal Weight,WMT,0.02
2022-08-03,Equity Equal Weight,XOM,0.02
2022-09-01,Equity Equal Weight,ABBV,0.02
2022-09-01,Equity Equal Weight,ABT,0.02
2022-09-01,Equity Equal Weight,ADBE,0.02
2022-09-01,Equity Equal Weight,AEP,0.02
2022-09-01,Equity Equal Weight,AMD,0.02
2022-09-01,Equity Equal Weight,AMGN,0.02
2022-09-01,Equity Equal Weight,AMT,0.02
2022-09-01,Equity Equal Weight,BA,0.02
2022-09-01,Equity Equal Weight,CAT,0.02
2022-09-01,Equity Equal Weight,CCI,0.02
2022-09-01,Equity Equal Weight,CMCSA,0.02
2022-09-01,Equity Equal Weight,COP,0.02
2022-09-01,Equity Equal Weight,CVX,0.02
2022-09-01,Equity Equal Weight,D,0.02
2022-09-01,Equity Equal Weight,DD,0.02
2022-09-01,Equity Equal Weight,DIS,0.02
2022-09-01,Equity Equal Weight,DOW,0.02
2022-09-01,Equity Equal Weight,DUK,0.02
2022-09-01,Equity Equal Weight,EA,0.02
2022-09-01,Equity Equal Weight,GE,0.02
2022-09-01,Equity Equal Weight,GILD,0.02
2022-09-01,Equity Equal Weight,GS,0.02
2022-09-01,Equity Equal Weight,INTC,0.02
2022-09-01,Equity Equal Weight,KO,0.02
2022-09-01,Equity Equal Weight,MMM,0.02
2022-09-01,Equity Equal Weight,MRK,0.02
2022-09-01,Equity Equal Weight,MS,0.02
2022-09-01,Equity Equal Weight,NEE,0.02
2022-09-01,Equity Equal Weight,NEM,0.02
2022-09-01,Equity Equal Weight,NKE,0.02
2022-09-01,Equity Equal Weight,NUE,0.02
2022-09-01,Equity Equal Weight,NVDA,0.02
2022-09-01,Equity Equal Weight,O,0.02
2022-09-01,Equity Equal Weight,OXY,0.02
2022-09-01,Equity Equal Weight,PLD,0.02
2022-09-01,Equity Equal Weight,PSA,0.02
2022-09-01,Equity Equal Weight,QCOM,0.02
2022-09-01,Equity Equal Weight,SBUX,0.02
2022-09-01,Equity Equal Weight,SHW,0.02
2022-09-01,Equity Equal Weight,SLB,0.02
2022-09-01,Equity Equal Weight,SO,0.02
2022-09-01,Equity Equal Weight,T,0.02
2022-09-01,Equity Equal Weight,TMUS,0.02
2022-09-01,Equity Equal Weight,TTWO,0.02
2022-09-01,Equity Equal Weight,UPS,0.02
2022-09-01,Equity Equal Weight,USB,0.02
2022-09-01,Equity Equal Weight,V,0.02
2022-09-01,Equity Equal Weight,WFC,0.02
2022-09-01,Equity Equal Weight,WMT,0.02
2022-09-01,Equity Equal Weight,XOM,0.02
2022-10-03,Equity Equal Weight,ABBV,0.02
2022-10-03,Equity Equal Weight,ABT,0.02
2022-10-03,Equity Equal Weight,ADBE,0.02
2022-10-03,Equity Equal Weight,AEP,0.02
2022-10-03,Equity Equal Weight,AMD,0.02
2022-10-03,Equity Equal Weight,AMGN,0.02
2022-10-03,Equity Equal Weight,AMT,0.02
2022-10-03,Equity Equal Weight,BA,0.02
2022-10-03,Equity Equal Weight,CAT,0.02
2022-10-03,Equity Equal Weight,CCI,0.02
2022-10-03,Equity Equal Weight,CMCSA,0.02
2022-10-03,Equity Equal Weight,COP,0.02
2022-10-03,Equity Equal Weight,CVX,0.02
2022-10-03,Equity Equal Weight,D,0.02
2022-10-03,Equity Equal Weight,DD,0.02
2022-10-03,Equity Equal Weight,DIS,0.02
2022-10-03,Equity Equal Weight,DOW,0.02
2022-10-03,Equity Equal Weight,DUK,0.02
2022-10-03,Equity Equal Weight,EA,0.02
2022-10-03,Equity Equal Weight,GE,0.02
2022-10-03,Equity Equal Weight,GILD,0.02
2022-10-03,Equity Equal Weight,GS,0.02
2022-10-03,Equity Equal Weight,INTC,0.02
2022-10-03,Equity Equal Weight,KO,0.02
2022-10-03,Equity Equal Weight,MMM,0.02
2022-10-03,Equity Equal Weight,MRK,0.02
2022-10-03,Equity Equal Weight,MS,0.02
2022-10-03,Equity Equal Weight,NEE,0.02
2022-10-03,Equity Equal Weight,NEM,0.02
2022-10-03,Equity Equal Weight,NKE,0.02
2022-10-03,Equity Equal Weight,NUE,0.02
2022-10-03,Equity Equal Weight,NVDA,0.02
2022-10-03,Equity Equal Weight,O,0.02
2022-10-03,Equity Equal Weight,OXY,0.02
2022-10-03,Equity Equal Weight,PLD,0.02
2022-10-03,Equity Equal Weight,PSA,0.02
2022-10-03,Equity Equal Weight,QCOM,0.02
2022-10-03,Equity Equal Weight,SBUX,0.02
2022-10-03,Equity Equal Weight,SHW,0.02
2022-10-03,Equity Equal Weight,SLB,0.02
2022-10-03,Equity Equal Weight,SO,0.02
2022-10-03,Equity Equal Weight,T,0.02
2022-10-03,Equity Equal Weight,TMUS,0.02
2022-10-03,Equity Equal Weight,TTWO,0.02
2022-10-03,Equity Equal Weight,UPS,0.02
2022-10-03,Equity Equal Weight,USB,0.02
2022-10-03,Equity Equal Weight,V,0.02
2022-10-03,Equity Equal Weight,WFC,0.02
2022-10-03,Equity Equal Weight,WMT,0.02
2022-10-03,Equity Equal Weight,XOM,0.02
2022-11-01,Equity Equal Weight,ABBV,0.02
2022-11-01,Equity Equal Weight,ABT,0.02
2022-11-01,Equity Equal Weight,ADBE,0.02
2022-11-01,Equity Equal Weight,AEP,0.02
2022-11-01,Equity Equal Weight,AMD,0.02
2022-11-01,Equity Equal Weight,AMGN,0.02
2022-11-01,Equity Equal Weight,AMT,0.02
2022-11-01,Equity Equal Weight,BA,0.02
2022-11-01,Equity Equal Weight,CAT,0.02
2022-11-01,Equity Equal Weight,CCI,0.02
2022-11-01,Equity Equal Weight,CMCSA,0.02
2022-11-01,Equity Equal Weight,COP,0.02
2022-11-01,Equity Equal Weight,CVX,0.02
2022-11-01,Equity Equal Weight,D,0.02
2022-11-01,Equity Equal Weight,DD,0.02
2022-11-01,Equity Equal Weight,DIS,0.02
2022-11-01,Equity Equal Weight,DOW,0.02
2022-11-01,Equity Equal Weight,DUK,0.02
2022-11-01,Equity Equal Weight,EA,0.02
2022-11-01,Equity Equal Weight,GE,0.02
2022-11-01,Equity Equal Weight,GILD,0.02
2022-11-01,Equity Equal Weight,GS,0.02
2022-11-01,Equity Equal Weight,INTC,0.02
2022-11-01,Equity Equal Weight,KO,0.02
2022-11-01,Equity Equal Weight,MMM,0.02
2022-11-01,Equity Equal Weight,MRK,0.02
2022-11-01,Equity Equal Weight,MS,0.02
2022-11-01,Equity Equal Weight,NEE,0.02
2022-11-01,Equity Equal Weight,NEM,0.02
2022-11-01,Equity Equal Weight,NKE,0.02
2022-11-01,Equity Equal Weight,NUE,0.02
2022-11-01,Equity Equal Weight,NVDA,0.02
2022-11-01,Equity Equal Weight,O,0.02
2022-11-01,Equity Equal Weight,OXY,0.02
2022-11-01,Equity Equal Weight,PLD,0.02
2022-11-01,Equity Equal Weight,PSA,0.02
2022-11-01,Equity Equal Weight,QCOM,0.02
2022-11-01,Equity Equal Weight,SBUX,0.02
2022-11-01,Equity Equal Weight,SHW,0.02
2022-11-01,Equity Equal Weight,SLB,0.02
2022-11-01,Equity Equal Weight,SO,0.02
2022-11-01,Equity Equal Weight,T,0.02
2022-11-01,Equity Equal Weight,TMUS,0.02
2022-11-01,Equity Equal Weight,TTWO,0.02
2022-11-01,Equity Equal Weight,UPS,0.02
2022-11-01,Equity Equal Weight,USB,0.02
2022-11-01,Equity Equal Weight,V,0.02
2022-11-01,Equity Equal Weight,WFC,0.02
2022-11-01,Equity Equal Weight,WMT,0.02
2022-11-01,Equity Equal Weight,XOM,0.02
2022-12-01,Equity Equal Weight,ABBV,0.02
2022-12-01,Equity Equal Weight,ABT,0.02
2022-12-01,Equity Equal Weight,ADBE,0.02
2022-12-01,Equity Equal Weight,AEP,0.02
2022-12-01,Equity Equal Weight,AMD,0.02
2022-12-01,Equity Equal Weight,AMGN,0.02
2022-12-01,Equity Equal Weight,AMT,0.02
2022-12-01,Equity Equal Weight,BA,0.02
2022-12-01,Equity Equal Weight,CAT,0.02
2022-12-01,Equity Equal Weight,CCI,0.02
2022-12-01,Equity Equal Weight,CMCSA,0.02
2022-12-01,Equity Equal Weight,COP,0.02
